time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,250921486,0.0,0.0,0.0,0.0
0.0,353767798,0.0,3172.64,1427.115,1668.272434696044
0.0,2879225651,2219.13,3104.09,2520.76,505.2768725164453
1.0,402402482,0.0,19033.35,4191.118112244896,4557.430481897042
1.0,844627879,0.0,57501.59,8941.43847457627,11200.590487505839
1.0,299496933,0.0,40746.58,11628.292056074763,8926.113799198765
1.0,10741763,0.0,35931.71,6481.192142857143,8592.745801382755
1.0,175509069,0.0,33086.42,5214.140738636361,7053.858425667312
1.0,355612724,0.0,24276.91,11008.327,7763.177761313517
1.0,355614986,0.0,4379.41,2013.79875,1867.5247998616283
1.0,359096480,2978.42,36398.22,11994.41193548387,8879.634549505747
1.0,31621981,0.0,9535.36,1969.9909615384613,1655.458390833684
1.0,881725974,0.0,55120.84,8869.788947368412,11828.935039222682
1.0,824855132,6980.63,27552.42,12732.114999999998,7835.978073693162
1.0,353771685,0.0,54882.69,7452.951851851853,12742.03153720547
1.0,661080035,0.0,19538.56,2331.150836501897,2766.804883030586
1.0,1040608909,25266.82,25266.82,25266.82,
1.0,807999459,0.0,10880.86,6402.15,4612.130682869542
1.0,254731664,0.0,33117.78,9345.109756097558,10458.113300603623
1.0,251136547,0.0,0.0,0.0,
0.0,659981101,0.0,10034.38,2230.9421875000003,2348.294017009128
0.0,365722346,0.0,8412.19,2940.814,2891.92314081774
0.0,636746261,0.0,3310.75,1624.0082352941176,1319.7219266595073
0.0,881725975,0.0,33520.93,4415.6136612021855,5575.895883473252
0.0,250707461,0.0,5422.31,903.7183333333334,2213.648787865109
0.0,260124786,0.0,48284.01,4114.943553826211,5799.376960775134
0.0,251136894,0.0,6862.34,4425.036666666667,3838.781111529197
0.0,224026849,0.0,9525.05,4019.597027027027,3157.3345933238134
0.0,820421379,0.0,13866.57,5756.68375,3902.1004743560416
0.0,31767615,0.0,9348.61,2970.539117647059,2698.4358007044457
0.0,909129701,0.0,2730.23,1372.0127777777775,1013.3065203452422
0.0,899624046,0.0,3289.07,1992.9658333333334,1225.9717331641152
1.0,881519850,0.0,35064.13,9556.85904761905,10072.277912466501
1.0,168914464,0.0,39948.66,6954.44371188223,8791.016724044151
1.0,516020524,0.0,48254.51,8076.455234899329,6677.247394788533
1.0,784764127,0.0,43303.72,7034.336793478255,8379.311556757832
1.0,359096233,0.0,10332.07,5275.10375,4129.123751485771
1.0,298298663,0.0,56986.12,14105.862623456786,12456.842481238835
1.0,32077250,0.0,16747.34,6026.206666666667,4728.251338537425
1.0,280005151,0.0,37644.73,5686.512692307691,7196.573259712581
1.0,23199927,0.0,54716.76,4376.324479025716,6562.842344745608
1.0,250699030,0.0,46057.51,7738.498450704224,8598.608652437679
1.0,791288820,0.0,46984.62,14623.133287671233,12710.653174734533
1.0,767329777,0.0,22832.05,12311.68,7938.007608774611
1.0,767331346,0.0,9722.88,1388.982857142857,3674.903215331955
1.0,250720834,0.0,10087.17,2591.7830000000004,2793.0329163735
1.0,1137831808,0.0,0.0,0.0,0.0
1.0,48650461,0.0,23085.23,9968.974117647058,6851.478668050477
1.0,883118289,0.0,14346.58,4183.433500000001,5238.020089841374
1.0,824855356,0.0,2595.92,1619.4033333333334,1412.3305601853035
1.0,363382193,4281.02,5986.47,5133.745000000001,1205.9352599745973
0.0,353745420,0.0,21133.62,6340.266190476189,7495.640858158478
0.0,188661337,0.0,38037.75,17749.2675,11677.249287798848
0.0,688104223,0.0,53750.52,5997.927362385327,8872.567400457867
0.0,97788586,0.0,36017.5,8549.340666666665,11874.297604593272
0.0,251136461,0.0,8674.55,2679.6866666666665,3553.058140147254
0.0,48650461,0.0,10701.98,4256.282799999999,3363.6582244813458
0.0,45879106,0.0,2715.24,1005.1839655172414,1010.2865310151697
0.0,6558555855,2962.64,9841.27,5717.139999999999,3638.1042346117574
1.0,10976954,0.0,60776.78,6476.253386963725,11038.786415122691
1.0,97789184,0.0,33442.54,6482.755,8187.157040507964
1.0,97846082,0.0,46994.28,12685.903593750001,14174.049512200312
1.0,353749650,0.0,18092.39,4717.006785714286,5348.571222550626
1.0,175509066,0.0,39654.04,5225.473371757925,6793.330467590044
1.0,250920248,0.0,24115.08,3841.2562550607313,2337.601355175253
1.0,51249532,0.0,29944.41,5401.214507042254,7004.628047686307
1.0,359095389,0.0,10994.86,3882.001538461539,3687.4735061960023
1.0,904572342,0.0,25003.29,4324.005384615385,7025.545525325911
1.0,50826617,0.0,38090.53,6370.351627906976,7932.2292124060505
1.0,11256819886,0.0,54225.33,13625.467999999999,23171.978963879414
1.0,250699973,0.0,40718.41,11475.676363636363,10544.87987707758
1.0,359094866,0.0,13946.33,4125.1425,4316.717638427759
1.0,1172304051,3702.23,3702.23,3702.23,
1.0,704135432,0.0,24230.81,4235.422615384615,5918.655761846466
1.0,49795118,0.0,21479.51,6724.002173913043,5782.7009977627995
0.0,468810769,0.0,58485.46,7126.6341463414565,9808.896535016042
0.0,355614519,0.0,46156.59,16694.581666666665,13963.426249725406
0.0,97846091,0.0,16334.69,6836.541538461538,4992.328746341475
0.0,51105853,0.0,9149.98,4413.5152,2886.211819913662
0.0,353746922,0.0,5629.58,3342.0833333333335,2959.2494863112393
0.0,7127124359,1677.49,7988.83,4833.16,4462.791312373905
0.0,8198127487,0.0,0.0,0.0,
1.0,251136323,0.0,29788.99,6716.30201072386,5559.54768050428
1.0,286067598,0.0,64834.8,9466.528439068925,13235.910826826117
1.0,962356679,0.0,26321.85,6437.1817985611515,5688.950354741498
1.0,250698925,0.0,22017.22,4151.012297297297,5242.196706443857
1.0,353767664,0.0,12021.81,4402.588,3428.0193405088685
1.0,353767051,0.0,16074.34,7086.081428571428,5938.213333709695
0.0,10976433,0.0,45965.39,5295.629309637715,6406.2042066488275
0.0,632342873,2020.64,51546.64,13590.238888888889,17184.317654582217
0.0,824855187,7891.99,25463.93,13672.645,6962.824240267532
0.0,284174992,2624.72,14113.22,8985.669310344827,3357.051753218175
0.0,250920236,0.0,50520.62,5333.23515151516,7822.5127492306
0.0,251134491,0.0,14555.6,3764.0389999999998,4054.521717854541
0.0,725187180,0.0,41601.56,9817.598947368422,11233.278781017887
0.0,359094650,0.0,51364.24,11110.299523809525,16705.043998146928
