time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
1.0,251137584,0.13,8.26,4.195,5.748778131046631
1.0,70794288,0.0,6.1,1.49125,2.612038475980015
1.0,790308479,0.0,0.85,0.33599999999999997,0.4601412826513178
0.0,760071189,0.0,7.46,1.1616129032258065,1.5834949865060495
0.0,2287625898,0.38,0.38,0.38,
0.0,243850918,0.0,8.94,0.6525531914893618,1.881790853883962
0.0,250713506,0.0,7.57,1.9622222222222225,2.979973899960274
0.0,250920248,0.0,8.33,1.5864444444444448,2.656267165125762
0.0,807999572,0.0,0.0,0.0,
0.0,250663733,0.0,9.35,2.3899999999999997,4.180642466005844
0.0,2696698093,0.0,0.57,0.085,0.20015902768457974
0.0,1458642387,0.0,5.95,1.56,2.9274676200885072
0.0,250691566,0.0,6.95,1.3325,2.294569676431727
0.0,650854044,8.25,8.25,8.25,
0.0,251109739,0.27,0.77,0.5433333333333333,0.2532455988429677
1.0,243527763,0.0,9.07,1.7423243503368524,1.8277865823859363
1.0,972302159,0.0,9.15,1.8342343691501721,1.8615237077773366
1.0,601303883,0.0,9.46,1.4638221153846562,1.5809373541861496
1.0,10741758,0.0,8.63,1.9453529411764705,2.627792320227331
1.0,32357772,0.0,9.5,1.2193060959792439,1.7344669045297332
1.0,304829528,0.0,7.17,0.8517021276595745,1.5925332829078604
1.0,359094540,0.0,10.84,1.4983870967741935,2.883095554928274
1.0,98303808,0.0,7.41,1.1566666666666667,2.374915787980702
1.0,360079224,0.0,7.62,3.2651269035533064,2.1547454249748226
1.0,251136572,0.0,8.56,2.893333333333333,4.907844061635753
1.0,23217747,0.0,9.06,2.6883636363636367,3.2168789588186617
1.0,48820562,0.0,5.17,1.0641666666666667,1.845916664785638
1.0,251145095,0.75,0.75,0.75,
1.0,10971776,0.0,8.94,3.9673611111111122,3.3768440942359503
1.0,188660572,0.0,0.28,0.11666666666666668,0.1457166199626293
0.0,250712038,0.0,5.85,2.0063999999999997,2.389982356978115
0.0,207979572,0.0,12.45,1.4429618768328465,2.349571117625011
0.0,359095744,0.0,7.99,2.0826548672566383,2.4775185662051604
0.0,250691665,0.0,9.51,2.4318032786885224,2.9290655200054903
0.0,353747408,0.0,5.33,0.43200000000000005,1.1552160415108954
0.0,86219664,0.0,7.0,1.4228571428571428,2.4683809690351555
0.0,221666914,0.0,0.43,0.10083333333333333,0.13354421728781254
0.0,250691739,0.0,9.37,2.4450000000000007,2.9978733027969415
0.0,907519287,0.0,1.15,0.3417241379310344,0.3778800732424171
0.0,359096483,0.0,5.71,1.9493750000000003,2.148172770053656
1.0,68524671,0.0,8.88,2.0617578125,2.7192345440989603
1.0,280010748,0.0,12.31,1.6136772486772488,3.02320266381261
1.0,cluster_1005855035_2251695181_250663594_250664454_,0.0,7.95,1.2864516129032255,2.286780056840808
1.0,31767642,0.0,8.9,2.5376470588235285,3.1282835349058122
1.0,251136321,0.0,9.02,1.4436792452830192,2.0461877796208983
1.0,98198128,0.0,8.63,0.9874397590361447,1.9607070090179268
1.0,250921396,0.0,7.38,2.2988000000000004,2.46383241357081
1.0,10134034290,0.0,9.71,1.9588983050847457,2.666848642476255
1.0,cluster_2113408277_212986801_6281867407_6356544243_,0.0,5.88,0.7527906976744185,0.8458563583487597
1.0,353768850,0.4,0.93,0.6849999999999999,0.20724381776062703
1.0,901645779,0.0,5.62,1.3465648854961834,2.024383579870622
1.0,6558555857,0.0,8.05,4.025,5.692209588551708
1.0,224026880,0.0,1.36,0.44933333333333336,0.534916103791275
1.0,7519494083,0.0,0.0,0.0,0.0
1.0,207979568,0.64,1.17,0.8177777777777778,0.19873209213522722
0.0,224025730,0.0,9.05,2.9781818181818185,4.159874561045845
0.0,95663490,0.0,6.21,1.6815789473684213,2.1624555567890216
0.0,101404643,0.0,7.39,4.113369565217389,2.7625606361696566
0.0,166100612,0.35,7.49,1.8536111111111113,2.3861890151186715
0.0,359095610,0.0,7.25,3.076666666666666,3.538251686921099
0.0,704278582,0.0,9.08,1.6660427807486637,2.6955520622716436
0.0,250700341,0.0,0.88,0.3314285714285714,0.373114306499075
0.0,892627320,0.0,0.53,0.19107142857142856,0.15952102579897634
0.0,2251695437,0.0,0.98,0.15944444444444442,0.29444808235513165
0.0,359095219,0.0,7.14,3.25,3.4504709823442945
0.0,359094863,0.0,1.17,0.6,0.585576638878294
1.0,715534866,0.0,11.53,1.8857916666666663,3.047034870393147
1.0,304829465,0.0,8.42,2.6660606060606056,2.950969056295257
