time_period,parse_lane_name(vehicle_lane),min(vehicle_CO),max(vehicle_CO),avg(vehicle_CO),stddev(vehicle_CO)
1.0,91502437,0.0,141.09,31.446153846153848,47.78752095447471
1.0,359095451,0.0,531.41,119.83576923076923,70.42188487168687
1.0,51249283,0.0,51.47,34.09888888888889,17.08675250336093
1.0,353767594,0.0,299.83,66.10799999999999,88.65284939959157
1.0,8212395770,0.0,0.0,0.0,0.0
1.0,7041322346,0.0,28.19,12.467500000000001,14.639493103701827
0.0,43386416,0.0,488.65,117.66577777777778,95.87558755275433
0.0,42240105,0.0,621.53,116.01842105263158,94.48503076662337
0.0,7384248376,0.0,465.96,104.13371287128714,63.86628354388718
0.0,909651169,0.0,1115.76,143.03790909090904,121.45942025306591
0.0,250692401,0.0,434.01,66.98338582677165,78.64909125924795
0.0,355613014,0.0,137.99,53.068461538461534,51.57468594930298
0.0,734712546,0.0,164.78,106.73564999999958,72.57442940240878
0.0,179007040,0.0,626.74,188.29799999999997,199.27776169624818
0.0,250920242,0.0,1404.38,189.6064285714286,274.5168726594755
0.0,251136994,0.0,249.46,85.26400000000001,95.4931404866339
0.0,359093566,0.0,160.47,54.64615384615384,66.04640092874875
0.0,651968875,0.0,801.57,160.31400000000002,358.47300174490135
0.0,661080035,0.0,232.53,84.49455555555554,73.5232502271054
0.0,250663831,38.56,77.11,50.235,18.036571181907053
0.0,359093543,0.0,152.23,74.40249999999999,64.77128855020985
0.0,250664458,0.0,97.67,17.601428571428574,36.42980575873344
0.0,824855256,0.0,0.0,0.0,
0.0,250710205,23.08,226.9,85.63777777777779,70.54459161789761
0.0,622917483,0.0,107.54,50.61,45.166537023184176
0.0,23217602,0.0,45.44,23.279374999999998,16.364716359664108
1.0,52493741,0.0,1562.34,84.74740787801778,150.99978290731437
1.0,250712162,0.0,176.23,86.08818181818181,47.348100572683045
1.0,653973297,0.0,493.18,63.345238095238095,106.06098229881938
1.0,791288815,0.0,391.38,28.88947368421052,64.41762201838687
1.0,156253936,0.0,185.92,47.96195121951219,61.4186347218624
1.0,23183922,0.0,156.01,83.13250000000001,66.3251664690173
1.0,824855290,0.0,0.0,0.0,
1.0,223649878,0.0,162.15,55.55560606060605,53.35959209072515
1.0,292906733,0.0,164.78,99.13363636363637,62.85126335607381
1.0,2299482267,0.0,0.0,0.0,0.0
0.0,280005152,0.0,183.87,57.70366336633663,55.440402446641244
