time_period,parse_lane_name(vehicle_lane),min(vehicle_PMx),max(vehicle_PMx),avg(vehicle_PMx),stddev(vehicle_PMx)
1.0,189099793,0.0,4.36,0.3518199999999988,0.7966282198373859
1.0,48656171,0.0,5.09,0.4767134599504656,0.8945928735111581
1.0,360079222,0.0,9.94,2.1485321100917427,3.245011791820176
1.0,97788594,0.0,5.77,0.6307070707070705,1.2279768100293682
1.0,363391923,0.05,6.52,2.5264285714285717,2.840873666112801
1.0,908588305,0.0,0.08,0.051250000000000004,0.03226563851175781
1.0,251144050,0.0,3.74,1.2833333333333334,2.1282465396032793
1.0,844168561,0.0,5.2,0.5751612903225806,1.2193446323325972
1.0,250920800,0.12,4.52,2.91,2.4257576136127037
1.0,1460308250,0.0,0.02,0.006666666666666667,0.011547005383792516
0.0,300402698,0.0,0.11,0.014666666666666665,0.0327035748737628
0.0,697038487,0.0,9.81,0.9145312499999992,2.1073007953675864
0.0,954712428,0.0,2.62,0.32590909090909076,0.7734625862279133
0.0,250706414,0.0,3.48,0.6666666666666665,1.326056182821829
0.0,392821763,0.0,0.09,0.05555555555555555,0.03468108674447468
0.0,651939716,0.0,0.12,0.06,0.08485281374238571
0.0,250691582,0.0,0.0,0.0,
0.0,353750576,0.0,0.0,0.0,
1.0,6217316407,0.0,4.9,0.8127298050139276,1.2878620332686563
1.0,660260258,0.0,5.16,0.9736538461538456,1.2704512931609435
1.0,359094098,0.0,4.28,0.9880000000000001,1.585662322185906
1.0,250691379,0.0,4.14,0.9842857142857141,1.5454962730976511
1.0,1102900327,0.0,3.85,0.7266037735849058,1.2098294935296445
1.0,251110825,0.0,3.53,1.1583333333333334,1.4027378691016241
1.0,749190996,0.0,0.05,0.015333333333333334,0.01767430203377074
1.0,250663831,0.0,5.43,1.232,2.113852947987226
1.0,634256859,0.0,5.72,1.4616071428571427,1.920941792488744
1.0,98350927,0.0,2.47,0.2050877192982456,0.5576068853560645
1.0,908116072,0.0,0.16,0.05180555555555556,0.06082360524185152
0.0,51043097,0.0,0.18,0.09882352941176471,0.05035900526980955
0.0,359094862,0.0,7.91,0.9791489361702127,2.1257385721992725
0.0,251145102,0.0,5.04,2.398,2.2748340598821706
0.0,599115094,0.11,8.0,1.8433333333333333,2.54944284570755
0.0,336340433,0.0,0.16,0.07300000000000001,0.06000925854492047
0.0,48656170,0.0,0.26,0.07294117647058823,0.07564429141402153
0.0,250710948,0.0,0.09,0.03571428571428571,0.036903993847614405
0.0,355612724,0.1,3.42,0.905,1.2936189547158004
0.0,4333980577,0.0,2.49,0.3628571428571429,0.9381669056501317
0.0,881725977,0.13,0.39,0.235,0.08468428763016533
1.0,31621142,0.0,2.41,0.4573837209302324,0.8434274192321738
1.0,167920360,0.0,6.0,0.7509608540925269,1.4989804160654798
1.0,1055910703,0.0,3.14,0.8087500000000001,1.4267689521632936
1.0,251134804,0.0,3.19,0.6610344827586206,1.1444660165571485
1.0,51249356,0.0,4.94,1.7647058823529413,1.8641892260680608
1.0,250712199,0.0,9.76,1.2834408602150538,2.328990495352596
1.0,1137831858,0.0,4.65,1.3209090909090908,1.5596823685959555
1.0,97834761,0.0,4.64,1.3368750000000003,1.6738907861398993
1.0,305143975,0.0,3.41,0.5816666666666667,1.3857909895314902
1.0,402402481,0.0,4.83,0.701025641025641,1.4542131076575848
0.0,651185403,0.0,2.85,0.26073394495412844,0.7153342994997337
0.0,359094045,0.0,2.36,0.14384615384615385,0.4417485481457054
0.0,219362018,0.0,5.34,0.5458823529411767,1.1132632906635176
0.0,9769867768,0.0,0.55,0.262,0.20969024774652734
0.0,250712510,0.0,2.8,0.21111111111111108,0.6534153609970675
0.0,688786344,0.0,3.7,0.2669565217391306,0.8005744314489783
0.0,52493502,0.0,0.12,0.02904761904761905,0.03433726283569526
0.0,31616991,0.0,5.45,0.5553333333333332,1.3920798567911312
0.0,250699612,0.0,4.36,0.9810810810810814,1.5324977977749645
0.0,652510531,0.0,3.31,0.2900000000000001,0.7209993065183904
1.0,250920326,0.0,5.04,0.29422695035461016,0.8157692999206954
1.0,11031663,0.0,5.74,1.5395890410958901,1.8656570471702487
1.0,1137831792,0.0,3.65,0.17807692307692308,0.7100874269033031
1.0,168914460,0.0,3.64,0.6896296296296295,1.2284495590329785
1.0,298744689,0.0,3.73,0.37269230769230766,1.0035838089260216
1.0,175509064,0.0,4.47,1.1891666666666667,1.755012490149204
1.0,299502759,0.0,7.87,1.13316091954023,1.8724901683594006
1.0,8212395769,0.0,2.44,0.6,1.0547727027874083
1.0,51102926,0.0,1.13,0.15150000000000002,0.2487923463029909
1.0,31620108,0.0,4.25,0.3003508771929825,0.9121852978117221
0.0,31621981,0.0,0.06,0.034285714285714294,0.02439750182371333
0.0,101521215,0.0,0.1,0.020833333333333332,0.027784342658585554
0.0,32015499,0.0,5.27,0.7203853955375218,1.2114910744723268
0.0,687830223,0.0,4.29,0.6294047619047619,1.2644293452517137
0.0,251136130,0.0,2.38,0.30575757575757573,0.7274614693534903
0.0,250691668,0.0,7.26,0.8835616438356164,1.8675090137094785
0.0,286070639,0.0,7.67,1.731346153846154,2.1460643676238877
0.0,660260257,0.0,0.21,0.11357142857142857,0.06319775347238257
0.0,251144930,0.0,9.04,1.5733333333333333,3.658145249531061
