timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
5.00;88.88;6690.89;0.58;2.40;0.15;5.24;HBEFA3/PC_G_EU4;0.00;2134.09;veh5;-173493700#2_0;73.77;63.43;!veh5!var#1;29.24;veh_passenger;0.00;23.747681;37.972075
5.00;148.29;2920.66;0.74;1.31;0.07;77.10;HBEFA3/PC_G_EU4;0.00;931.60;veh6;50033135#1_0;62.25;6.42;!veh6!var#1;1.32;veh_passenger;0.00;23.736460;37.989812
5.00;6.01;1663.88;0.06;0.47;0.00;291.65;HBEFA3/PC_G_EU4;0.00;530.72;veh7;1033862865#0_0;61.62;15.54;!veh7!var#1;10.44;veh_passenger;0.00;23.712136;37.971930
5.00;0.00;2456.70;0.01;0.73;0.01;189.34;HBEFA3/PC_G_EU4;0.00;783.58;veh8;669874507_0;65.41;5.10;!veh8!var#1;15.11;veh_passenger;0.00;23.727740;37.991146
6.00;33.50;19076.01;6.63;153.89;3.51;331.15;HBEFA3/Bus;0.00;6035.79;bus0;44463548_0;75.81;29.83;!bus0!var#1;5.32;bus_bus;0.00;23.718820;37.986107
6.00;26.90;12211.25;5.74;107.60;2.77;55.44;HBEFA3/Bus;0.00;3862.99;bus1;741245822#0_0;74.72;4.39;!bus1!var#1;2.59;bus_bus;0.00;23.737133;37.982962
6.00;20.17;5286.11;4.85;60.75;2.01;126.34;HBEFA3/Bus;0.00;1671.11;bus2;734712582#2_0;67.11;5.14;!bus2!var#1;0.00;bus_bus;1.00;23.713364;37.977221
6.00;0.00;0.00;0.00;0.00;0.00;239.25;HBEFA3/LDV_G_EU6;0.00;0.00;motorcycle0;48651788#0_0;61.78;66.54;!motorcycle0!var#1;12.05;motorcycle_motorcycle;0.00;23.714131;37.989540
6.00;179.19;1228.61;0.64;0.31;0.17;11.35;HBEFA3/LDV_G_EU6;0.00;391.94;motorcycle1;10976420#1_0;55.94;2.30;!motorcycle1!var#1;0.00;motorcycle_motorcycle;0.00;23.723939;37.988429
6.00;0.00;0.00;0.00;0.00;0.00;184.60;HBEFA3/PC_G_EU4;0.00;0.00;veh0;:97839381_1_0;45.62;2.45;!veh0!var#1;3.59;veh_passenger;0.00;23.722759;37.988591
