time_period,parse_lane_name(vehicle_lane),min(vehicle_NOx),max(vehicle_NOx),avg(vehicle_NOx),stddev(vehicle_NOx)
0.0,704293239,0.0,410.8,28.80536679536681,79.71230922227748
0.0,31767666,0.0,224.3,28.27774193548387,63.424039959081625
0.0,909651171,1.88,148.32,73.8325,83.06968856528435
0.0,262646166,0.0,223.92,29.312916666666677,56.185385933493734
0.0,482987486,0.0,232.85,37.257358490566034,76.29152055289539
0.0,790318519,3.04,3.8,3.53,0.42508822613664554
0.0,1098886968,0.0,378.16,93.21912500000003,112.88485640839582
0.0,359094352,0.0,4.28,2.3660000000000005,1.5409347812285892
0.0,51043106,0.0,3.59,1.95,1.7927353401994395
0.0,359095409,2.12,3.37,2.6533333333333333,0.6448514040717702
0.0,363391934,0.0,0.87,0.435,0.6151828996322963
0.0,881725981,2.96,5.17,3.8699999999999997,1.1554652742510267
1.0,353768003,0.0,173.28,17.948382352941174,43.27357059764695
1.0,62326679,0.0,1.39,0.6916923076923077,0.5593511006927169
1.0,49298623,0.0,85.5,2.725302325581396,11.943607987286192
1.0,32295538,0.0,315.17,42.10561103810779,62.551400717844025
1.0,1005854988,0.0,214.57,57.151666666666664,91.65142517531665
1.0,251134301,0.0,0.0,0.0,0.0
1.0,11031664,0.0,286.64,41.457478152309754,75.0243020786087
1.0,70689748,0.0,236.84,33.25513513513514,68.98670011275537
1.0,40560443,0.0,300.6,21.424045643153484,51.49261807318769
1.0,9487245296,0.0,5.81,2.7625,2.371369405458133
1.0,760071200,0.0,1.44,0.5559999999999999,0.6020372819758664
1.0,763490835,0.0,4.85,1.9219047619047616,1.7857340760808118
1.0,659981101,0.0,60.81,9.085151515151514,20.682337707658025
1.0,844173322,0.0,187.88,62.624,86.78995120404204
0.0,482987487,0.0,245.03,53.353445378151285,63.30467832120153
0.0,250711247,0.0,285.88,29.794999999999998,89.98823345922015
0.0,10976960,0.0,272.68,24.431047619047586,58.791514283751496
0.0,52493739,0.0,339.45,8.716048780487805,42.4813464080962
0.0,251136498,0.0,244.56,35.32285714285714,92.27039426133855
0.0,249412140,0.0,101.29,22.09439024390243,31.33012424558674
0.0,359095602,0.0,0.75,0.375,0.5303300858899106
1.0,250920324,0.0,244.76,17.44807606264004,32.062323637596386
1.0,300401860,1.88,155.19,19.735294117647058,48.292806674188945
1.0,250921223,0.0,116.45,23.94222222222222,45.19226531658315
1.0,353746355,186.47,212.6,195.52666666666667,14.795081389885405
