timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
67.0,96.74,7163.34,0.61,2.99,0.14,278.75,HBEFA3/PC_G_EU4,0.0,2284.76,veh102,23184691#0_2,68.5,3.27,!veh102!var#1,13.35,veh_passenger,0.0,23.727368,37.984207
67.0,0.0,1341.44,0.0,0.13,0.0,234.35,HBEFA3/PC_G_EU4,0.0,427.87,veh37,:cluster_262646289_5630810689_5630810692_7214467399_1_1,66.74,29.55,!veh37!var#1,17.96,veh_passenger,0.0,23.724758,37.982632
67.0,73.02,7139.07,0.51,2.85,0.14,9.55,HBEFA3/PC_G_EU4,0.0,2277.01,veh50,762514801#0_2,69.8,14.46,!veh50!var#1,18.83,veh_passenger,0.0,23.728242,37.985219
68.0,0.0,1441.32,0.0,0.3,0.0,280.21,HBEFA3/PC_G_EU4,0.0,459.74,veh102,23184691#0_2,63.46,16.37,!veh102!var#1,13.1,veh_passenger,0.0,23.727222,37.984231
68.0,0.0,0.0,0.0,0.0,0.0,9.55,HBEFA3/PC_G_EU4,0.0,0.0,veh50,762514801#0_2,62.23,29.23,!veh50!var#1,14.77,veh_passenger,0.0,23.728275,37.985349
69.0,53.65,5240.53,0.37,2.07,0.09,280.21,HBEFA3/PC_G_EU4,0.0,1671.48,veh102,23184691#0_2,66.77,30.27,!veh102!var#1,13.9,veh_passenger,0.0,23.727067,37.984257
69.0,0.0,0.0,0.0,0.0,0.0,9.55,HBEFA3/PC_G_EU4,0.0,0.0,veh50,762514801#0_2,58.12,40.05,!veh50!var#1,10.81,veh_passenger,0.0,23.728299,37.985444
70.0,0.0,0.0,0.0,0.0,0.0,280.17,HBEFA3/PC_G_EU4,0.0,0.0,veh102,23184691#0_2,58.02,40.89,!veh102!var#1,10.62,veh_passenger,0.0,23.726949,37.984276
70.0,0.0,0.0,0.0,0.0,0.0,9.53,HBEFA3/PC_G_EU4,0.0,0.0,veh50,762514801#0_2,51.41,46.41,!veh50!var#1,6.36,veh_passenger,0.0,23.728313,37.985501
71.0,0.0,0.0,0.0,0.0,0.0,276.67,HBEFA3/PC_G_EU4,0.0,0.0,veh102,:250720871_6_0,50.93,2.1,!veh102!var#1,6.12,veh_passenger,0.0,23.72688,37.984285
71.0,140.07,7351.3,0.81,3.2,0.15,9.52,HBEFA3/PC_G_EU4,0.0,2344.71,veh50,:95663422_2_2,69.84,4.29,!veh50!var#1,8.69,veh_passenger,0.0,23.728332,37.985577
72.0,66.76,2494.35,0.36,0.97,0.03,217.68,HBEFA3/PC_G_EU4,0.0,795.61,veh102,:250720871_6_0,60.06,8.45,!veh102!var#1,6.34,veh_passenger,0.0,23.726832,37.984249
72.0,164.78,2624.72,0.81,1.2,0.07,262.21,HBEFA3/PC_G_EU4,0.0,837.22,veh126,168725549#0_0,55.94,5.1,!veh126!var#1,0.0,veh_passenger,0.0,23.728042,37.984436
72.0,122.73,7400.73,0.74,3.18,0.15,9.56,HBEFA3/PC_G_EU4,0.0,2360.47,veh50,762514801#3_2,69.03,3.64,!veh50!var#1,10.6,veh_passenger,0.0,23.728355,37.985671
73.0,56.42,1915.25,0.3,0.7,0.02,189.24,HBEFA3/PC_G_EU4,0.0,610.91,veh102,250756985#0_1,58.64,5.63,!veh102!var#1,6.22,veh_passenger,0.0,23.726817,37.984195
73.0,148.02,3478.86,0.76,1.55,0.08,259.46,HBEFA3/PC_G_EU4,0.0,1109.64,veh126,168725549#0_0,65.71,7.14,!veh126!var#1,2.04,veh_passenger,0.0,23.728019,37.984433
74.0,99.14,4776.77,0.56,2.02,0.09,189.24,HBEFA3/PC_G_EU4,0.0,1523.58,veh102,250756985#0_1,65.26,13.2,!veh102!var#1,7.58,veh_passenger,0.0,23.726801,37.984128
74.0,138.4,4598.65,0.74,2.02,0.1,259.46,HBEFA3/PC_G_EU4,0.0,1466.78,veh126,168725549#0_0,67.16,11.35,!veh126!var#1,4.21,veh_passenger,0.0,23.727972,37.984427
75.0,119.94,6754.16,0.71,2.9,0.13,189.24,HBEFA3/PC_G_EU4,0.0,2154.26,veh102,250756985#0_1,68.38,22.67,!veh102!var#1,9.46,veh_passenger,0.0,23.72678,37.984044
75.0,132.51,5702.91,0.74,2.48,0.12,254.98,HBEFA3/PC_G_EU4,0.0,1818.97,veh126,168725549#0_0,68.07,17.72,!veh126!var#1,6.37,veh_passenger,0.0,23.727902,37.984415
76.0,159.41,9701.98,0.96,4.23,0.21,189.24,HBEFA3/PC_G_EU4,0.0,3094.45,veh102,250756985#0_1,71.79,34.55,!veh102!var#1,11.89,veh_passenger,0.0,23.726755,37.983939
76.0,108.88,5476.69,0.62,2.33,0.11,245.79,HBEFA3/PC_G_EU4,0.0,1746.81,veh126,168725549#0_0,66.57,25.72,!veh126!var#1,8.0,veh_passenger,0.0,23.727818,37.984388
